       x       rho           u      p
    0.8400    0.2656    0.9275    0.3031
    0.8420    0.2656    0.9275    0.3031
    0.8440    0.2656    0.9275    0.3031
    0.8460    0.2656    0.9275    0.3031
    0.8480    0.2656    0.9275    0.3031
    0.8500    0.2656    0.9275    0.3031
    0.8520    0.1250         0    0.1000
    0.8540    0.1250         0    0.1000
    0.8560    0.1250         0    0.1000
    0.8580    0.1250         0    0.1000
    0.8600    0.1250         0    0.1000
    0.8620    0.1250         0    0.1000
    0.8640    0.1250         0    0.1000
    0.8660    0.1250         0    0.1000
    0.8680    0.1250         0    0.1000
    0.8700    0.1250         0    0.1000
    0.8720    0.1250         0    0.1000
    0.8740    0.1250         0    0.1000
    0.8760    0.1250         0    0.1000
    0.8780    0.1250         0    0.1000
    0.8800    0.1250         0    0.1000
    0.8820    0.1250         0    0.1000
    0.8840    0.1250         0    0.1000
    0.8860    0.1250         0    0.1000
    0.8880    0.1250         0    0.1000
    0.8900    0.1250         0    0.1000
    0.8920    0.1250         0    0.1000
    0.8940    0.1250         0    0.1000
    0.8960    0.1250         0    0.1000
    0.8980    0.1250         0    0.1000
    0.9000    0.1250         0    0.1000
    0.9020    0.1250         0    0.1000
    0.9040    0.1250         0    0.1000
    0.9060    0.1250         0    0.1000
    0.9080    0.1250         0    0.1000
    0.9100    0.1250         0    0.1000
    0.9120    0.1250         0    0.1000
    0.9140    0.1250         0    0.1000
    0.9160    0.1250         0    0.1000
    0.9180    0.1250         0    0.1000
    0.9200    0.1250         0    0.1000
    0.9220    0.1250         0    0.1000
    0.9240    0.1250         0    0.1000
    0.9260    0.1250         0    0.1000
    0.9280    0.1250         0    0.1000
    0.9300    0.1250         0    0.1000
    0.9320    0.1250         0    0.1000
    0.9340    0.1250         0    0.1000
    0.9360    0.1250         0    0.1000
    0.9380    0.1250         0    0.1000
    0.9400    0.1250         0    0.1000
    0.9420    0.1250         0    0.1000
    0.9440    0.1250         0    0.1000
    0.9460    0.1250         0    0.1000
    0.9480    0.1250         0    0.1000
    0.9500    0.1250         0    0.1000
    0.9520    0.1250         0    0.1000
    0.9540    0.1250         0    0.1000
    0.9560    0.1250         0    0.1000
    0.9580    0.1250         0    0.1000
    0.9600    0.1250         0    0.1000
    0.9620    0.1250         0    0.1000
    0.9640    0.1250         0    0.1000
    0.9660    0.1250         0    0.1000
    0.9680    0.1250         0    0.1000
    0.9700    0.1250         0    0.1000
    0.9720    0.1250         0    0.1000
    0.9740    0.1250         0    0.1000
    0.9760    0.1250         0    0.1000
    0.9780    0.1250         0    0.1000
    0.9800    0.1250         0    0.1000
    0.9820    0.1250         0    0.1000
    0.9840    0.1250         0    0.1000
    0.9860    0.1250         0    0.1000
    0.9880    0.1250         0    0.1000
    0.9900    0.1250         0    0.1000
    0.9920    0.1250         0    0.1000
    0.9940    0.1250         0    0.1000
    0.9960    0.1250         0    0.1000
    0.9980    0.1250         0    0.1000
    1.0000    0.1250         0    0.1000
